Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Nannochloris;Nannochloris bacillaris;  :  27.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Prototheca;Prototheca wickerhamii;  :  1305.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Pseudochlorella;Pseudochlorella pringsheimii;  :  949.0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;NA;Parachlorella;Parachlorella kessleri;  :  4651.0
Eukaryota;Chlorophyta;Trebouxiophyceae;NA;Coccomyxaceae;Coccomyxa;Coccomyxa subellipsoidea;  :  312664.0
Eukaryota;Chlorophyta;Trebouxiophyceae;NA;NA;Dictyosphaerium;Dictyosphaerium ehrenbergianum;  :  3497.0
Eukaryota;Chlorophyta;Ulvophyceae;Dasycladales;Polyphysaceae;Acetabularia;Acetabularia acetabulum;  :  2082.0
Eukaryota;Chlorophyta;Ulvophyceae;Dasycladales;Polyphysaceae;Acetabularia;Acetabularia peniculus;  :  436.0
Eukaryota;Chlorophyta;Ulvophyceae;Ignatiales;NA;Ignatius;Ignatius tetrasporus;  :  221.0
Eukaryota;Chlorophyta;Ulvophyceae;NA;NA;Oltmannsiellopsis;Oltmannsiellopsis viridis;  :  1457.0
Eukaryota;Chlorophyta;Ulvophyceae;Scotinosphaerales;Scotinosphaeraceae;Scotinosphaera;Scotinosphaera sp. CAUP H5307;  :  310.0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva compressa;  :  1198.0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva linza;  :  4277.0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva sp. SAP114778;  :  2077.0
