Orthologue Group ID	ProteinID
OG0000000	GN18_k25_TRINITY_DN45748_c1_g1_i3
OG0000000	GN18_k25_TRINITY_DN49663_c0_g1_i2
OG0000000	GN18_k31_TRINITY_DN16522_c0_g2_i7
OG0000000	GN18_k31_TRINITY_DN34904_c0_g1_i1
OG0000000	GN18_k31_TRINITY_DN34904_c0_g1_i4
OG0000000	GN18_k31_TRINITY_DN41182_c0_g2_i1
OG0000000	GN18_k31_TRINITY_DN41182_c0_g2_i6
OG0000000	GN18_k31_TRINITY_DN54953_c0_g1_i1
OG0000000	GN18_k31_TRINITY_DN54953_c0_g1_i4
OG0000000	GN18_k31_TRINITY_DN76013_c1_g1_i2
OG0000000	GN18_k31_TRINITY_DN9079_c0_g1_i11
OG0000000	GN18_k31_TRINITY_DN9079_c0_g1_i14
OG0000000	GN18_k31_TRINITY_DN9079_c0_g1_i7
OG0000000	GN18_k31_TRINITY_DN90_c2_g1_i2
OG0000000	GT96-167_k25_TRINITY_DN8996_c0_g1_i4
OG0000000	GT96-167_k31_TRINITY_DN13389_c0_g1_i9
OG0000000	GT96-167_k31_TRINITY_DN13718_c0_g1_i3
OG0000000	GT96-167_k31_TRINITY_DN13718_c0_g1_i4
OG0000000	GT96-167_k31_TRINITY_DN13718_c0_g2_i1
OG0000000	GT96-167_k31_TRINITY_DN13718_c0_g2_i2
OG0000000	GT96-167_k31_TRINITY_DN28806_c0_g1_i2
OG0000000	GT96-167_k31_TRINITY_DN45310_c0_g1_i2
OG0000000	GT96-167_k31_TRINITY_DN45310_c0_g2_i2
OG0000000	GT96-167_k31_TRINITY_DN5498_c0_g1_i3
OG0000000	GT96-167_k31_TRINITY_DN5498_c0_g1_i7
OG0000000	GT96-167_k31_TRINITY_DN9112_c2_g2_i1
OG0000000	GUC10_k25_TRINITY_DN20664_c0_g1_i4
OG0000000	GUC10_k31_TRINITY_DN35876_c0_g1_i1
OG0000000	GXU-34140_k25_TRINITY_DN28908_c1_g1_i1
OG0000000	GXU-34140_k25_TRINITY_DN6622_c0_g2_i6
OG0000000	GXU-34140_k31_TRINITY_DN23505_c0_g3_i1
OG0000000	GXU-34176_k31_TRINITY_DN10262_c0_g1_i18
OG0000000	GXU-34176_k31_TRINITY_DN10262_c0_g1_i7
OG0000000	GXU-34176_k31_TRINITY_DN12721_c0_g1_i1
OG0000000	GXU-34176_k31_TRINITY_DN12721_c0_g1_i3
OG0000000	GXU-34176_k31_TRINITY_DN12721_c0_g1_i5
OG0000000	GXU-34176_k31_TRINITY_DN12721_c1_g1_i3
OG0000000	GXU-34176_k31_TRINITY_DN12721_c1_g1_i6
OG0000000	GXU-34176_k31_TRINITY_DN12721_c1_g1_i7
OG0000000	GXU-34176_k31_TRINITY_DN6542_c0_g1_i11
OG0000000	GXU-34176_k31_TRINITY_DN6542_c0_g1_i12
OG0000000	GXU-34176_k31_TRINITY_DN6542_c0_g1_i4
OG0000000	GXU-34176_k31_TRINITY_DN6542_c0_g1_i5
OG0000000	GXU-34176_k31_TRINITY_DN6542_c0_g1_i8
OG0000000	GXU-34176_k31_TRINITY_DN6542_c0_g1_i9
OG0000000	KQ08-2850_k25_TRINITY_DN47212_c0_g1_i1
OG0000000	KQ08-2850_k25_TRINITY_DN47212_c0_g1_i2
OG0000000	KQ08-2850_k25_TRINITY_DN47212_c0_g1_i4
OG0000000	KQ08-2850_k25_TRINITY_DN8994_c0_g1_i7
OG0000000	KQ08-2850_k31_TRINITY_DN15715_c0_g1_i3
OG0000000	KQ08-2850_k31_TRINITY_DN19252_c0_g1_i1
OG0000000	KQ08-2850_k31_TRINITY_DN19252_c0_g1_i5
OG0000000	KQ08-2850_k31_TRINITY_DN19252_c0_g1_i9
OG0000000	KQ08-2850_k31_TRINITY_DN7355_c1_g1_i10
OG0000000	KQ08-2850_k31_TRINITY_DN7355_c1_g1_i14
OG0000000	KQ08-2850_k31_TRINITY_DN8930_c0_g1_i4
OG0000000	KQ08-2850_k31_TRINITY_DN8930_c0_g1_i5
OG0000000	KQ08-2850_k31_TRINITY_DN9738_c0_g1_i2
OG0000000	KQB07-23863_k31_TRINITY_DN32951_c0_g1_i1
OG0000000	KQB07-23990_k31_TRINITY_DN1293_c0_g1_i10
OG0000000	KQB07-23990_k31_TRINITY_DN1293_c0_g1_i12
OG0000000	KQB07-23990_k31_TRINITY_DN1293_c0_g1_i16
OG0000000	KQB07-23990_k31_TRINITY_DN1293_c0_g1_i17
OG0000000	KQB07-23990_k31_TRINITY_DN1293_c0_g1_i2
OG0000000	KQB07-23990_k31_TRINITY_DN1293_c0_g1_i5
OG0000000	KQB07-24619_k25_TRINITY_DN2877_c1_g2_i1
OG0000000	KQB07-24619_k25_TRINITY_DN2877_c1_g2_i4
OG0000000	KQB07-24619_k25_TRINITY_DN2877_c1_g2_i8
OG0000000	KQB07-24619_k31_TRINITY_DN19845_c2_g1_i3
OG0000000	KQB07-24619_k31_TRINITY_DN3804_c0_g1_i14
OG0000000	KQB07-24619_k31_TRINITY_DN3804_c0_g1_i15
OG0000000	KQB07-24739_k31_TRINITY_DN15336_c0_g1_i10
OG0000000	KQB07-24739_k31_TRINITY_DN2160_c0_g1_i13
OG0000000	KQB07-24739_k31_TRINITY_DN2160_c0_g1_i14
OG0000000	KQB08-32953_k25_TRINITY_DN19621_c0_g2_i1
OG0000000	KQB08-32953_k25_TRINITY_DN2297_c0_g1_i4
OG0000000	KQB08-32953_k31_TRINITY_DN6371_c0_g1_i16
OG0000000	KQB08-32953_k31_TRINITY_DN6371_c0_g1_i6
OG0000000	KQB09-20432_k31_TRINITY_DN17700_c0_g1_i2
