pan_transcriptome_size:36239	genes_pan:106025	core_transcriptome_size:36239	genes_core:106025	number_genotypes:1	n_sample:0
pan_transcriptome_size:30632	genes_pan:97315	core_transcriptome_size:30632	genes_core:97315	number_genotypes:1	n_sample:1
pan_transcriptome_size:30511	genes_pan:87728	core_transcriptome_size:30511	genes_core:87728	number_genotypes:1	n_sample:2
pan_transcriptome_size:26247	genes_pan:70647	core_transcriptome_size:26247	genes_core:70647	number_genotypes:1	n_sample:3
pan_transcriptome_size:50071	genes_pan:149135	core_transcriptome_size:50071	genes_core:149135	number_genotypes:1	n_sample:4
pan_transcriptome_size:30632	genes_pan:97315	core_transcriptome_size:30632	genes_core:97315	number_genotypes:1	n_sample:5
pan_transcriptome_size:52858	genes_pan:164557	core_transcriptome_size:52858	genes_core:164557	number_genotypes:1	n_sample:6
pan_transcriptome_size:31844	genes_pan:99204	core_transcriptome_size:31844	genes_core:99204	number_genotypes:1	n_sample:7
pan_transcriptome_size:36270	genes_pan:114675	core_transcriptome_size:36270	genes_core:114675	number_genotypes:1	n_sample:8
pan_transcriptome_size:36622	genes_pan:110410	core_transcriptome_size:36622	genes_core:110410	number_genotypes:1	n_sample:9
pan_transcriptome_size:33542	genes_pan:100827	core_transcriptome_size:33542	genes_core:100827	number_genotypes:1	n_sample:10
pan_transcriptome_size:28391	genes_pan:79184	core_transcriptome_size:28391	genes_core:79184	number_genotypes:1	n_sample:11
pan_transcriptome_size:34610	genes_pan:101284	core_transcriptome_size:34610	genes_core:101284	number_genotypes:1	n_sample:12
pan_transcriptome_size:35736	genes_pan:116738	core_transcriptome_size:35736	genes_core:116738	number_genotypes:1	n_sample:13
pan_transcriptome_size:34610	genes_pan:101284	core_transcriptome_size:34610	genes_core:101284	number_genotypes:1	n_sample:14
pan_transcriptome_size:31089	genes_pan:89918	core_transcriptome_size:31089	genes_core:89918	number_genotypes:1	n_sample:15
pan_transcriptome_size:26621	genes_pan:71857	core_transcriptome_size:26621	genes_core:71857	number_genotypes:1	n_sample:16
pan_transcriptome_size:38179	genes_pan:118967	core_transcriptome_size:38179	genes_core:118967	number_genotypes:1	n_sample:17
pan_transcriptome_size:34106	genes_pan:103049	core_transcriptome_size:34106	genes_core:103049	number_genotypes:1	n_sample:18
pan_transcriptome_size:30511	genes_pan:87728	core_transcriptome_size:30511	genes_core:87728	number_genotypes:1	n_sample:19
pan_transcriptome_size:41698	genes_pan:189862	core_transcriptome_size:22113	genes_core:164355	number_genotypes:2	n_sample:0
pan_transcriptome_size:38785	genes_pan:168436	core_transcriptome_size:20525	genes_core:144262	number_genotypes:2	n_sample:1
pan_transcriptome_size:40281	genes_pan:177168	core_transcriptome_size:21477	genes_core:152779	number_genotypes:2	n_sample:2
pan_transcriptome_size:53873	genes_pan:164727	core_transcriptome_size:17150	genes_core:104043	number_genotypes:2	n_sample:3
pan_transcriptome_size:40403	genes_pan:172759	core_transcriptome_size:17435	genes_core:126759	number_genotypes:2	n_sample:4
pan_transcriptome_size:57945	genes_pan:219800	core_transcriptome_size:16696	genes_core:134953	number_genotypes:2	n_sample:5
