==> SRR5258946.trimmed.kaiju_speciesSummary.tsv <==
        %	    reads	species
-------------------------------------------
 0.467658	    12390	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Paenarthrobacter;Paenarthrobacter nicotinovorans;
 0.393489	    10425	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella variabilis;
 0.379712	    10060	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus;
 0.376617	     9978	Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas eustigma;
 0.345365	     9150	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Auxenochlorella;Auxenochlorella protothecoides;

==> SRR5258951.trimmed.kaiju_speciesSummary.tsv <==
        %	    reads	species
-------------------------------------------
 1.481238	    31794	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii;
 0.781524	    16775	Eukaryota;Chlorophyta;Trebouxiophyceae;NA;Coccomyxaceae;Coccomyxa;Coccomyxa subellipsoidea;
 0.506604	    10874	Eukaryota;Chlorophyta;Chlorophyceae;NA;Microsporaceae;Microspora;Microspora stagnorum;
 0.461181	     9899	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Paenarthrobacter;Paenarthrobacter nicotinovorans;
 0.398985	     8564	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella variabilis;
 0.374200	     8032	Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas eustigma;
 0.372849	     8003	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus;
 0.336276	     7218	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Auxenochlorella;Auxenochlorella protothecoides;

==> SRR5258952.trimmed.kaiju_speciesSummary.tsv <==
        %	    reads	species
-------------------------------------------
 1.509497	    33715	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii;
 1.136678	    25388	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Paenarthrobacter;Paenarthrobacter nicotinovorans;
 0.750876	    16771	Eukaryota;Chlorophyta;Trebouxiophyceae;NA;Coccomyxaceae;Coccomyxa;Coccomyxa subellipsoidea;
 0.535700	    11965	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus;
 0.398160	     8893	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella variabilis;
 0.391041	     8734	Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas eustigma;
 0.371923	     8307	Eukaryota;Chlorophyta;Chlorophyceae;NA;Microsporaceae;Microspora;Microspora stagnorum;
 0.342150	     7642	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Auxenochlorella;Auxenochlorella protothecoides;

==> SRR5258953.trimmed.kaiju_speciesSummary.tsv <==
        %	    reads	species
-------------------------------------------
 1.501599	    27068	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii;
 1.136906	    20494	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Paenarthrobacter;Paenarthrobacter nicotinovorans;
 0.761173	    13721	Eukaryota;Chlorophyta;Trebouxiophyceae;NA;Coccomyxaceae;Coccomyxa;Coccomyxa subellipsoidea;
 0.550146	     9917	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus;
 0.391321	     7054	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella variabilis;
 0.377563	     6806	Eukaryota;Chlorophyta;Chlorophyceae;NA;Microsporaceae;Microspora;Microspora stagnorum;
 0.366246	     6602	Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas eustigma;
 0.338564	     6103	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;

==> SRR5258954.trimmed.kaiju_speciesSummary.tsv <==
        %	    reads	species
-------------------------------------------
 1.485388	    18035	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii;
 0.779715	     9467	Eukaryota;Chlorophyta;Trebouxiophyceae;NA;Coccomyxaceae;Coccomyxa;Coccomyxa subellipsoidea;
 0.482391	     5857	Eukaryota;Chlorophyta;Chlorophyceae;NA;Microsporaceae;Microspora;Microspora stagnorum;
 0.396405	     4813	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella variabilis;
 0.392452	     4765	Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas eustigma;
 0.350530	     4256	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Auxenochlorella;Auxenochlorella protothecoides;
 0.329693	     4003	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;
 0.308855	     3750	Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium neglectum;

==> SRR5258955.trimmed.kaiju_speciesSummary.tsv <==
        %	    reads	species
-------------------------------------------
 1.479739	    22199	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii;
 0.771432	    11573	Eukaryota;Chlorophyta;Trebouxiophyceae;NA;Coccomyxaceae;Coccomyxa;Coccomyxa subellipsoidea;
 0.477404	     7162	Eukaryota;Chlorophyta;Chlorophyceae;NA;Microsporaceae;Microspora;Microspora stagnorum;
 0.397414	     5962	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella variabilis;
 0.386416	     5797	Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas eustigma;
 0.360219	     5404	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Auxenochlorella;Auxenochlorella protothecoides;
